image_path,classes
data\dataset_2_split\train\images\15-329-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\15-329-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\15-329-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\15-329-ls-34-g01_5700_6840.jpg,1
data\dataset_2_split\train\images\15-329-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\15-329-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\15-330-ls-14-h02_0_1140.jpg,
data\dataset_2_split\train\images\15-330-ls-14-h02_10260_11400.jpg,7
data\dataset_2_split\train\images\15-330-ls-14-h02_11400_12540.jpg,0
data\dataset_2_split\train\images\15-330-ls-14-h02_1140_2280.jpg,
data\dataset_2_split\train\images\15-330-ls-14-h02_13680_14820.jpg,0
data\dataset_2_split\train\images\15-330-ls-14-h02_2280_3420.jpg,6
data\dataset_2_split\train\images\15-330-ls-14-h02_26220_27360.jpg,6
data\dataset_2_split\train\images\15-330-ls-14-h02_27360_28500.jpg,7
data\dataset_2_split\train\images\15-330-ls-14-h02_29640_30780.jpg,
data\dataset_2_split\train\images\15-330-ls-14-h02_30780_31920.jpg,0
data\dataset_2_split\train\images\15-330-ls-14-h02_4560_5700.jpg,
data\dataset_2_split\train\images\15-330-ls-14-h02_9120_10260.jpg,6
data\dataset_2_split\train\images\15-331-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\15-331-ls-34-g01_10260_11400.jpg,"0,7"
data\dataset_2_split\train\images\15-331-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\15-331-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\15-331-ls-34-g01_19380_20520.jpg,
data\dataset_2_split\train\images\15-331-ls-34-g01_20520_21660.jpg,1
data\dataset_2_split\train\images\15-331-ls-34-g01_22800_23940.jpg,0
data\dataset_2_split\train\images\15-331-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\15-331-ls-34-g01_28500_29640.jpg,1
data\dataset_2_split\train\images\15-331-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\15-331-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\15-331-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\15-332-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\15-332-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\15-332-ls-34-g01_30780_31920.jpg,2
data\dataset_2_split\train\images\15-332-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\15-332-ls-34-g01_5700_6840.jpg,1
data\dataset_2_split\train\images\15-332-ls-34-g01_9120_10260.jpg,"0,6"
data\dataset_2_split\train\images\15-333-ls-14-h02_10260_11400.jpg,"0,7"
data\dataset_2_split\train\images\15-333-ls-14-h02_1140_2280.jpg,
data\dataset_2_split\train\images\15-333-ls-14-h02_15960_17100.jpg,
data\dataset_2_split\train\images\15-333-ls-14-h02_18240_19380.jpg,6
data\dataset_2_split\train\images\15-333-ls-14-h02_27360_28500.jpg,0
data\dataset_2_split\train\images\15-333-ls-14-h02_30780_31920.jpg,
data\dataset_2_split\train\images\15-333-ls-14-h02_3420_4560.jpg,7
data\dataset_2_split\train\images\15-333-ls-14-h02_4560_5700.jpg,
data\dataset_2_split\train\images\15-333-ls-14-h02_6840_7980.jpg,0
data\dataset_2_split\train\images\15-334-ls-14-h02_13680_14820.jpg,
data\dataset_2_split\train\images\15-334-ls-14-h02_14820_15960.jpg,
data\dataset_2_split\train\images\15-334-ls-14-h02_17100_18240.jpg,6
data\dataset_2_split\train\images\15-334-ls-14-h02_25080_26220.jpg,0
data\dataset_2_split\train\images\15-334-ls-14-h02_27360_28500.jpg,0
data\dataset_2_split\train\images\15-334-ls-14-h02_9120_10260.jpg,6
data\dataset_2_split\train\images\15-334-ls-r1-1-14fn_0_1140.jpg,
data\dataset_2_split\train\images\15-334-ls-r1-1-14fn_13680_14820.jpg,
data\dataset_2_split\train\images\15-334-ls-r1-1-14fn_2280_3420.jpg,
data\dataset_2_split\train\images\15-334-ls-r1-1-14fn_30780_31920.jpg,
data\dataset_2_split\train\images\15-334-ls-r1-1-14fn_4560_5700.jpg,
data\dataset_2_split\train\images\15-335-ls-14-h02_11400_12540.jpg,0
data\dataset_2_split\train\images\15-335-ls-14-h02_12540_13680.jpg,0
data\dataset_2_split\train\images\15-335-ls-14-h02_15960_17100.jpg,1
data\dataset_2_split\train\images\15-335-ls-14-h02_17100_18240.jpg,
data\dataset_2_split\train\images\15-335-ls-14-h02_20520_21660.jpg,0
data\dataset_2_split\train\images\15-335-ls-14-h02_23940_25080.jpg,0
data\dataset_2_split\train\images\15-335-ls-14-h02_29640_30780.jpg,
data\dataset_2_split\train\images\15-335-ls-14-h02_3420_4560.jpg,7
data\dataset_2_split\train\images\15-335-ls-14-h02_4560_5700.jpg,
data\dataset_2_split\train\images\15-335-ls-14-h02_9120_10260.jpg,0
data\dataset_2_split\train\images\15-336-ls-14-h02_17100_18240.jpg,
data\dataset_2_split\train\images\15-336-ls-14-h02_18240_19380.jpg,6
data\dataset_2_split\train\images\15-336-ls-14-h02_2280_3420.jpg,
data\dataset_2_split\train\images\15-336-ls-14-h02_3420_4560.jpg,7
data\dataset_2_split\train\images\15-336-ls-14-h02_5700_6840.jpg,
data\dataset_2_split\train\images\15-337-ls-14-h02_1140_2280.jpg,
data\dataset_2_split\train\images\15-337-ls-14-h02_15960_17100.jpg,2
data\dataset_2_split\train\images\15-337-ls-14-h02_18240_19380.jpg,6
data\dataset_2_split\train\images\15-337-ls-14-h02_21660_22800.jpg,1
data\dataset_2_split\train\images\15-337-ls-14-h02_22800_23940.jpg,0
data\dataset_2_split\train\images\15-337-ls-14-h02_29640_30780.jpg,1
data\dataset_2_split\train\images\15-337-ls-14-h02_4560_5700.jpg,
data\dataset_2_split\train\images\15-337-ls-14-h02_5700_6840.jpg,
data\dataset_2_split\train\images\15-337-ls-14-h02_6840_7980.jpg,1
data\dataset_2_split\train\images\15-337-ls-14-h02_7980_9120.jpg,
data\dataset_2_split\train\images\15-337-ls-14-h02_9120_10260.jpg,0
data\dataset_2_split\train\images\15-338-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\15-338-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\15-338-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\15-338-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\15-338-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\15-338-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\15-338-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\15-338-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\15-338-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\15-338-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\15-339-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\15-339-ls-34-g01_11400_12540.jpg,1
data\dataset_2_split\train\images\15-339-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\15-339-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\15-339-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\15-339-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\15-339-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\15-339-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\15-339-ls-34-g01_7980_9120.jpg,1
data\dataset_2_split\train\images\15-340-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\15-340-ls-34-g01_12540_13680.jpg,1
data\dataset_2_split\train\images\15-340-ls-34-g01_19380_20520.jpg,1
data\dataset_2_split\train\images\15-340-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\15-340-ls-34-g01_23940_25080.jpg,2
data\dataset_2_split\train\images\15-340-ls-34-g01_25080_26220.jpg,0
data\dataset_2_split\train\images\15-340-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\15-340-ls-34-g01_4560_5700.jpg,0
data\dataset_2_split\train\images\15-340-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\15-340-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\15-340-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\15-340-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\15-350-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\15-350-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\15-350-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\15-350-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\15-350-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\15-350-ls-34-g01_29640_30780.jpg,1
data\dataset_2_split\train\images\15-350-ls-34-g01_3420_4560.jpg,"0,7"
data\dataset_2_split\train\images\15-360-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\15-360-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\15-360-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\15-360-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\15-360-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\15-360-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\15-370-ls-34-g01_10260_11400.jpg,"0,7"
data\dataset_2_split\train\images\15-370-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\15-370-ls-34-g01_12540_13680.jpg,0
data\dataset_2_split\train\images\15-370-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\15-370-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\15-370-ls-34-g01_30780_31920.jpg,1
data\dataset_2_split\train\images\15-370-ls-34-g01_9120_10260.jpg,"1,6"
data\dataset_2_split\train\images\15-380-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_10260_11400.jpg,0
data\dataset_2_split\train\images\15-380-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_18240_19380.jpg,7
data\dataset_2_split\train\images\15-380-ls-34-g01_20520_21660.jpg,0
data\dataset_2_split\train\images\15-380-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\15-380-ls-34-g01_4560_5700.jpg,1
data\dataset_2_split\train\images\15-380-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\15-390-ls-14-h02_0_1140.jpg,
data\dataset_2_split\train\images\15-390-ls-14-h02_10260_11400.jpg,"1,7"
data\dataset_2_split\train\images\15-390-ls-14-h02_1140_2280.jpg,6
data\dataset_2_split\train\images\15-390-ls-14-h02_19380_20520.jpg,7
data\dataset_2_split\train\images\15-390-ls-14-h02_26220_27360.jpg,6
data\dataset_2_split\train\images\15-390-ls-14-h02_27360_28500.jpg,7
data\dataset_2_split\train\images\15-390-ls-14-h02_3420_4560.jpg,7
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_0_1140.jpg,0
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_10260_11400.jpg,"0,7"
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_1140_2280.jpg,
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_13680_14820.jpg,1
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_17100_18240.jpg,1
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_2280_3420.jpg,6
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_23940_25080.jpg,1
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_27360_28500.jpg,7
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_3420_4560.jpg,7
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_7980_9120.jpg,1
data\dataset_2_split\train\images\15-390-ls-r3-1-14fn_9120_10260.jpg,6
data\dataset_2_split\train\images\15-400-ls-14-h02_0_1140.jpg,
data\dataset_2_split\train\images\15-400-ls-14-h02_13680_14820.jpg,
data\dataset_2_split\train\images\15-400-ls-14-h02_17100_18240.jpg,1
data\dataset_2_split\train\images\15-400-ls-14-h02_18240_19380.jpg,6
data\dataset_2_split\train\images\15-400-ls-14-h02_21660_22800.jpg,"0,1"
data\dataset_2_split\train\images\15-400-ls-14-h02_2280_3420.jpg,
data\dataset_2_split\train\images\15-400-ls-14-h02_27360_28500.jpg,"0,7"
data\dataset_2_split\train\images\15-400-ls-14-h02_29640_30780.jpg,
data\dataset_2_split\train\images\15-400-ls-14-h02_3420_4560.jpg,7
data\dataset_2_split\train\images\15-400-ls-14-h02_4560_5700.jpg,
data\dataset_2_split\train\images\15-400-ls-14-h02_7980_9120.jpg,
data\dataset_2_split\train\images\15-400-ls-14-h02_9120_10260.jpg,1
data\dataset_2_split\train\images\15-410-ls-14-h02_0_1140.jpg,
data\dataset_2_split\train\images\15-410-ls-14-h02_1140_2280.jpg,6
data\dataset_2_split\train\images\15-410-ls-14-h02_12540_13680.jpg,0
data\dataset_2_split\train\images\15-410-ls-14-h02_18240_19380.jpg,6
data\dataset_2_split\train\images\15-410-ls-14-h02_21660_22800.jpg,"0,10"
data\dataset_2_split\train\images\15-410-ls-14-h02_2280_3420.jpg,
data\dataset_2_split\train\images\15-410-ls-14-h02_23940_25080.jpg,"0,1"
data\dataset_2_split\train\images\15-410-ls-14-h02_25080_26220.jpg,0
data\dataset_2_split\train\images\15-410-ls-14-h02_28500_29640.jpg,
data\dataset_2_split\train\images\15-410-ls-14-h02_3420_4560.jpg,7
data\dataset_2_split\train\images\15-410-ls-14-h02_4560_5700.jpg,
data\dataset_2_split\train\images\15-410-ls-14-h02_5700_6840.jpg,
data\dataset_2_split\train\images\15-410-ls-14-h02_9120_10260.jpg,6
data\dataset_2_split\train\images\150-b1-14-d01_10260_11400.jpg,6
data\dataset_2_split\train\images\150-b1-14-d01_11400_12540.jpg,7
data\dataset_2_split\train\images\150-b1-14-d01_20520_21660.jpg,1
data\dataset_2_split\train\images\150-b1-14-d01_23940_25080.jpg,0
data\dataset_2_split\train\images\150-b1-14-d01_26220_27360.jpg,"6,10"
data\dataset_2_split\train\images\150-b1-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\150-b1-14-d01_3420_4560.jpg,
data\dataset_2_split\train\images\150-b1-14-d01_4560_5700.jpg,7
data\dataset_2_split\train\images\1500-b1-14-h01_10260_11400.jpg,"0,1"
data\dataset_2_split\train\images\1500-b1-14-h01_1140_2280.jpg,6
data\dataset_2_split\train\images\1500-b1-14-h01_13680_14820.jpg,1
data\dataset_2_split\train\images\1500-b1-14-h01_18240_19380.jpg,"0,6"
data\dataset_2_split\train\images\1500-b1-14-h01_25080_26220.jpg,
data\dataset_2_split\train\images\1500-b1-14-h01_29640_30780.jpg,2
data\dataset_2_split\train\images\1500-b1-14-h01_3420_4560.jpg,"0,7"
data\dataset_2_split\train\images\1500-b1-14-h01_4560_5700.jpg,1
data\dataset_2_split\train\images\1500-b1-14-h01_5700_6840.jpg,1
data\dataset_2_split\train\images\1500-b1-14-h01_7980_9120.jpg,0
data\dataset_2_split\train\images\1500-b1-14-h01_9120_10260.jpg,0
data\dataset_2_split\train\images\1510-b1-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\1510-b1-14-d01_13680_14820.jpg,2
data\dataset_2_split\train\images\1510-b1-14-d01_15960_17100.jpg,
data\dataset_2_split\train\images\1510-b1-14-d01_17100_18240.jpg,2
data\dataset_2_split\train\images\1510-b1-14-d01_2280_3420.jpg,"1,6"
data\dataset_2_split\train\images\1510-b1-14-d01_23940_25080.jpg,0
data\dataset_2_split\train\images\1510-b1-14-d01_26220_27360.jpg,
data\dataset_2_split\train\images\1510-b1-14-d01_7980_9120.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_12540_13680.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_21660_22800.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_22800_23940.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_25080_26220.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_29640_30780.jpg,
data\dataset_2_split\train\images\1520-b1-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\1530-b1-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\1530-b1-14-d01_11400_12540.jpg,
data\dataset_2_split\train\images\1530-b1-14-d01_1140_2280.jpg,
data\dataset_2_split\train\images\1530-b1-14-d01_15960_17100.jpg,
data\dataset_2_split\train\images\1530-b1-14-d01_19380_20520.jpg,0
data\dataset_2_split\train\images\1530-b1-14-d01_22800_23940.jpg,
data\dataset_2_split\train\images\1530-b1-14-d01_7980_9120.jpg,
data\dataset_2_split\train\images\1540-b1-14-d01_17100_18240.jpg,
data\dataset_2_split\train\images\1540-b1-14-d01_18240_19380.jpg,0
data\dataset_2_split\train\images\1540-b1-14-d01_20520_21660.jpg,10
data\dataset_2_split\train\images\1540-b1-14-d01_21660_22800.jpg,10
data\dataset_2_split\train\images\1540-b1-14-d01_25080_26220.jpg,
data\dataset_2_split\train\images\1540-b1-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\1540-b1-14-d01_4560_5700.jpg,
data\dataset_2_split\train\images\1540-b1-14-d01_6840_7980.jpg,
data\dataset_2_split\train\images\1550-b1-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\1550-b1-14-d01_12540_13680.jpg,1
data\dataset_2_split\train\images\1550-b1-14-d01_13680_14820.jpg,1
data\dataset_2_split\train\images\1550-b1-14-d01_26220_27360.jpg,
data\dataset_2_split\train\images\1550-b1-14-d01_4560_5700.jpg,1
data\dataset_2_split\train\images\1550-b1-14-d01_5700_6840.jpg,0
data\dataset_2_split\train\images\1550-b1-14-d01_7980_9120.jpg,
data\dataset_2_split\train\images\1550-b1-14-d01_9120_10260.jpg,1
data\dataset_2_split\train\images\1560-b1-14-h01_1140_2280.jpg,6
data\dataset_2_split\train\images\1560-b1-14-h01_13680_14820.jpg,0
data\dataset_2_split\train\images\1560-b1-14-h01_18240_19380.jpg,7
data\dataset_2_split\train\images\1560-b1-14-h01_20520_21660.jpg,
data\dataset_2_split\train\images\1560-b1-14-h01_2280_3420.jpg,
data\dataset_2_split\train\images\1560-b1-14-h01_27360_28500.jpg,"0,7"
data\dataset_2_split\train\images\1560-b1-14-h01_28500_29640.jpg,
data\dataset_2_split\train\images\1560-b1-14-h01_6840_7980.jpg,
data\dataset_2_split\train\images\1570-b1-14-h01_10260_11400.jpg,0
data\dataset_2_split\train\images\1570-b1-14-h01_18240_19380.jpg,"0,7"
data\dataset_2_split\train\images\1570-b1-14-h01_22800_23940.jpg,0
data\dataset_2_split\train\images\1570-b1-14-h01_27360_28500.jpg,7
data\dataset_2_split\train\images\1570-b1-14-h01_29640_30780.jpg,
data\dataset_2_split\train\images\1570-b1-14-h01_30780_31920.jpg,
data\dataset_2_split\train\images\1570-b1-14-h01_9120_10260.jpg,6
data\dataset_2_split\train\images\1580-b1-14-h01_1140_2280.jpg,
data\dataset_2_split\train\images\1580-b1-14-h01_18240_19380.jpg,"1,6"
data\dataset_2_split\train\images\1580-b1-14-h01_23940_25080.jpg,
data\dataset_2_split\train\images\1580-b1-14-h01_25080_26220.jpg,
data\dataset_2_split\train\images\1580-b1-14-h01_27360_28500.jpg,7
data\dataset_2_split\train\images\1580-b1-14-h01_30780_31920.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_0_1140.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_12540_13680.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_15960_17100.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_18240_19380.jpg,6
data\dataset_2_split\train\images\1590-b1-14-h01_22800_23940.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_2280_3420.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_23940_25080.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_26220_27360.jpg,6
data\dataset_2_split\train\images\1590-b1-14-h01_28500_29640.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_29640_30780.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_30780_31920.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_7980_9120.jpg,
data\dataset_2_split\train\images\1590-b1-14-h01_9120_10260.jpg,6
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_10260_11400.jpg,1
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_1140_2280.jpg,6
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_15960_17100.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_17100_18240.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_19380_20520.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_21660_22800.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_22800_23940.jpg,1
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_2280_3420.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_25080_26220.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_26220_27360.jpg,6
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_30780_31920.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_4560_5700.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_5700_6840.jpg,
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_6840_7980.jpg,1
data\dataset_2_split\train\images\16-010-ls-1-11ra-0xkh_7980_9120.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_12540_13680.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_13680_14820.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_14820_15960.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_15960_17100.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_17100_18240.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_20520_21660.jpg,7
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_21660_22800.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_22800_23940.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_23940_25080.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_25080_26220.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_27360_28500.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_28500_29640.jpg,7
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_29640_30780.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_3420_4560.jpg,7
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_4560_5700.jpg,
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_5700_6840.jpg,10
data\dataset_2_split\train\images\16-019-zh-1-11ra-0xkh_6840_7980.jpg,
data\dataset_2_split\train\images\16-020-ls-14-h02_0_1140.jpg,
data\dataset_2_split\train\images\16-020-ls-14-h02_1140_2280.jpg,6
data\dataset_2_split\train\images\16-020-ls-14-h02_20520_21660.jpg,0
data\dataset_2_split\train\images\16-020-ls-14-h02_23940_25080.jpg,0
data\dataset_2_split\train\images\16-030-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\16-030-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\16-030-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\16-030-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\16-030-ls-34-g01_21660_22800.jpg,0
data\dataset_2_split\train\images\16-030-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\16-030-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\16-030-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_11400_12540.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_13680_14820.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_17100_18240.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_18240_19380.jpg,0
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_20520_21660.jpg,0
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_2280_3420.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_27360_28500.jpg,0
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_28500_29640.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_29640_30780.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_30780_31920.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_3420_4560.jpg,7
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_5700_6840.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_6840_7980.jpg,
data\dataset_2_split\train\images\16-030-ls-r3-1-1sr4_7980_9120.jpg,
data\dataset_2_split\train\images\16-040-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\16-040-ls-34-g01_15960_17100.jpg,0
data\dataset_2_split\train\images\16-040-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\16-040-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\16-040-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\16-040-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\16-040-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\16-040-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\16-050-ls-34-g01_10260_11400.jpg,6
data\dataset_2_split\train\images\16-050-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\16-050-ls-34-g01_1140_2280.jpg,
